name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
Deon Cole,https://en.wikipedia.org/wiki/Deon_Cole,46,U.S.,Chicago, ,American,['Philander Smith College'],['Thornridge High School'],M,"['Actor','Comedian']",
Joel Kinnaman,https://en.wikipedia.org/wiki/Joel_Kinnaman,38,Sweden,Stockholm, ,Swedish,,,M,['Actor'],
Phoebe Robinson,https://en.wikipedia.org/wiki/Phoebe_Robinson,34,U.S., Ohio, ,American,['Pratt Institute'],,F,['Comedian'],
Rose McGowan,https://en.wikipedia.org/wiki/Rose_McGowan,45,Italy,Tuscany,Certaldo,American,,,F,"['Actress', 'singer', 'director', 'author']",
Michael Shannon,https://en.wikipedia.org/wiki/Michael_Shannon,44,U.S.,Kentucky,Lexington,American,,,M,"['Actor', 'musician']",
Meghan McCain,https://en.wikipedia.org/wiki/Meghan_McCain,34,U.S.,Arizona,Phoenix,American,['Columbia University'],,F,"['Television host', 'author']",Republican
Bernadette Peters,https://en.wikipedia.org/wiki/Bernadette_Peters,70,U.S.,New York,New York City,American,,,F,"['Actress', 'singer', 'author']",
Wanda Sykes,https://en.wikipedia.org/wiki/Wanda_Sykes,54,U.S.,Virginia,Portsmouth,American,['Hampton University'],,F,"['Actress', 'comedian', 'writer']",
Thomas Haden Church,https://en.wikipedia.org/wiki/Thomas_Haden_Church,58,U.S.,California,Yolo,American,['University of North Texas'],['Harlingen High School'],M,"['Actor', 'director', 'writer']",
June Diane Raphael,https://en.wikipedia.org/wiki/June_Diane_Raphael,38,U.S.,New York,Rockville Centre,American,['New York University'],,F,"['Actress', 'comedian', 'writer']",
Beanie Feldstein,https://en.wikipedia.org/wiki/Beanie_Feldstein,25,U.S.,California,Los Angeles,American,['Wesleyan University'],['HarvardWestlake School'],F,['Actress'],
Yara Shahidi,https://en.wikipedia.org/wiki/Yara_Shahidi,18,U.S.,Minnesota,Minneapolis,American,,,F,"['actress', 'model', 'activist']",
Nathan Lane,https://en.wikipedia.org/wiki/Nathan_Lane,62,U.S.,New Jersey,Jersey City,American,,,M,"['Actor', 'writer']",
Senator Kirsten Gillibrand,https://en.wikipedia.org/wiki/Kirsten_Gillibrand,51,U.S.,New York,Albany,American,,"['Dartmouth College', 'University of California, Los Angeles']",F,['Senator'],Democratic
Constance Zimmer,https://en.wikipedia.org/wiki/Constance_Zimmer,48,U.S.,Washington,Seattle,American,['American Academy of Dramatic Arts'],,F,['Actress'],
Kiefer Sutherland,https://en.wikipedia.org/wiki/Kiefer_Sutherland,51,U.K.,London, ,British,,,M,"['Actor', 'film director', 'film producer', 'singer', 'songwriter']",
Zoe Lister-Jones,https://en.wikipedia.org/wiki/Zoe_Lister-Jones,36,U.S.,New York,New York City,American,['New York University'],,F,"['Actress', 'producer', 'director', 'writer']",
John McWhorter,https://en.wikipedia.org/wiki/John_McWhorter,53,U.S.,Pennsylvania,Philadelphia,American,"['Simons Rock College', 'Rutgers University',  'New York University', 'Stanford University']",['Friends Select School'],M,['Linguist'],
Donald Glover,https://en.wikipedia.org/wiki/Donald_Glover,35,U.S.,California,Edwards Air Force Base,American,['New York University'],['DeKalb School of the Arts'],M,"['Actor', 'comedian', 'singer', 'writer', 'producer', 'director', 'rapper',  'songwriter',  'DJ']",
Omarosa Manigault,https://en.wikipedia.org/wiki/Omarosa_Manigault,44,U.S.,Ohio, Youngstown,American,"['Central State University', 'Howard University']",,F,['Director of Communications '],Democratic
Sebastian Maniscalco,https://en.wikipedia.org/wiki/Sebastian_Maniscalco,45,U.S.,Illinois, ,American,,,M,['Stand-up Comedian'],
